item_id,item_name,addr1,state,lat,lng,phone,directions,site_brand,description_1,unitPrice_1,description_2,unitPrice_2,description_3,unitPrice_3,description_4,unitPrice_4,description_5,unitPrice_5,description_6,unitPrice_6,description_7,unitPrice_7,description_8,unitPrice_8,description_9,unitPrice_9,description_10,unitPrice_10
266341,Little General 7710,932 Cross Lanes Dr,WV,38.4202037,-81.7919447,3047599183,https://www.google.com/maps/dir//932+Cross+Lanes+Dr+Cross+Lanes+WV+25313,MARATHON,UNLEADED,3.099,PLUS,3.549,DIESL,3.399,,,,,,,,,,,,,,
250219,LePier Oil,320 1st Street East,MN,47.574059,-95.7478324,2184310974,https://www.google.com/maps/dir//320+1st+Street+East+Fosston+MN+56542,MARATHON,Off-Road,2.779,Unleaded,2.829,#2 Diesel,3.299,Non-Oxy,3.409,#1 Diesel,3.649,Blend,4.119,,,,,,,,
250220,BFS FOODS NO 42,1550 EAST HIGH ST,PA,39.8959855,-80.1666867,7246277085,https://www.google.com/maps/dir//1550+EAST+HIGH+ST+WAYNESBURG+PA+15370,MARATHON,UNLD,3.399,PLUS,3.799,PREMIUM,4.299,,,,,,,,,,,,,,
250221,YATES HOME STORE,8815 NEW HIGHWAY 68,TN,35.3847245,-84.3140386,4232533133,https://www.google.com/maps/dir//8815+NEW+HIGHWAY+68+TELLICO+PLAINS+TN+37385,MARATHON,PLUS,0.000,NONE,2.689,OFFRD,2.699,DIESEL,3.059,,,,,,,,,,,,
250222,LENORE MART,STATE ROUTE 65,WV,37.8001594,-82.2943551,3044754771,https://www.google.com/maps/dir//STATE+ROUTE+65+LENORE+WV+25676,MARATHON,UNLEADED,2.899,PLUS,3.499,SUPER,4.099,DIESEL,3.479,,,,,,,,,,,,
250223,Jay Food Mart,1300 East Stone Drive,TN,36.5507681,-82.5254366,4233785898,https://www.google.com/maps/dir//1300+East+Stone+Drive+Kingsport+TN+37660,MARATHON,REG,2.799,MID,3.199,PREM,3.599,DIESEL,3.399,,,,,,,,,,,,
250225,Micro Mini Mart,102 US-301,NC,35.563362,-78.2051885,9192845511,https://www.google.com/maps/dir//102+US-301+Micro+NC+27555,MARATHON,UNLD,2.799,PLUS ,3.399,PREM,3.699,KEROSENE,6.999,,,,,,,,,,,,
250226,BG's Food Mart,105 HIGHWAY 56 NORTH,KY,37.6158898,-87.3973514,2702735900,https://www.google.com/maps/dir//105+HIGHWAY+56+NORTH+CALHOUN+KY+42327,MARATHON,,,,,,,,,,,,,,,,,,,,
250227,QUICK MART 6,5141 US 23 NORTH,KY,37.8756941,-82.7781822,6062971779,https://www.google.com/maps/dir//5141+US+23+NORTH+PAINTSVILLE+KY+41240,MARATHON,REG,2.799,PLUS,3.799,PREM,4.299,DIESEL,3.599,,,,,,,,,,,,
250228,THE GAS PUMP,1934 W 52ND ST,GA,32.0541618,-81.1380406,9122348307,https://www.google.com/maps/dir//1934+W+52ND+ST+SAVANNAH+GA+31405,MARATHON,Regular,3.099,Plus,3.599,Super,3.999,,,,,,,,,,,,,,
250229,SHAWNEE ROAD DOG LLC,7841 SR 93,OH,39.6063058,-82.2197771,7403942226,https://www.google.com/maps/dir//7841+SR+93+SHAWNEE+OH+43782,MARATHON,UNLD,3.299,MID,3.799,DIESL,3.599,,,,,,,,,,,,,,
250231,PAR MAR 51,826 RR 1 5502,WV,38.3233363,-82.2474648,3047339750,https://www.google.com/maps/dir//826+RR+1+5502+SALT+ROCK+WV+25559,MARATHON,UNLD1,2.999,DIESL,3.699,,,,,,,,,,,,,,,,
250232,YOUNGS CORNER,2101 HAMBURG PIKE,IN,38.2957335,-85.7478518,8122888075,https://www.google.com/maps/dir//2101+HAMBURG+PIKE+JEFFERSONVILLE+IN+47130,MARATHON,UNLEAD,2.999,PLUS,3.799,DIESEL,3.899,,,,,,,,,,,,,,
250234,Mega Stop,426 Columbia Avenue,SC,33.9882133,-81.2384179,8033596252,https://www.google.com/maps/dir//426+Columbia+Avenue+Lexington+SC+29072,MARATHON,UNLEADED,3.059,MIDGRD,3.759,PREMIUM,3.909,REC 90,4.459,,,,,,,,,,,,
250240,ADMIRAL 5811,61 East 24th Street,MI,42.7762414,-86.1045349,6163968931,https://www.google.com/maps/dir//61+East+24th+Street+Holland+MI+49423,MARATHON,,,,,,,,,,,,,,,,,,,,
250241,Bainbridge Foodmart,306 West Pat Rady Way,IN,39.7618161,-86.8150323,7654817475,https://www.google.com/maps/dir//306+West+Pat+Rady+Way+Bainbridge+IN+46105,MARATHON,,,,,,,,,,,,,,,,,,,,
250242,Macon Food Mart,4206 Macon Rd,GA,32.4902363,-84.9195447,3342079706,https://www.google.com/maps/dir//4206+Macon+Rd+Columbus+GA+31907,MARATHON,Unleaded,2.859,Plus,3.259,Premium,3.659,,,,,,,,,,,,,,
250243,BLUE GRASS MARKET,111 MAIN ST,KY,37.7338337,-83.5491155,6066683048,https://www.google.com/maps/dir//111+MAIN+ST+CAMPTON+KY+41301,MARATHON,UNLD,3.399,PLUS,3.699,PREM,3.999,DIESEL,3.999,,,,,,,,,,,,
250244,JP Jackson Marathon #286,717 East 3rd Street,GA,33.2948636,-83.958218,7707752386,https://www.google.com/maps/dir//717+East+3rd+Street+Jackson+GA+30233,MARATHON,UNLD,2.999,PLUS,3.399,REC90,3.799,DIESL,3.699,,,,,,,,,,,,
250245,LANSING MARATHON,17700 S TORRENCE,IL,41.5736341,-87.5593168,7084183028,https://www.google.com/maps/dir//17700+S+TORRENCE+LANSING+IL+60438,MARATHON,UNLEAD,3.349,MIDGRADE,3.949,PREMIUM,4.549,,,,,,,,,,,,,,
250246,CONTRERAS ENERGY,2735 NW 7TH STREET,FL,25.779632,-80.2403991,3055415104,https://www.google.com/maps/dir//2735+NW+7TH+STREET+MIAMI+FL+33125,MARATHON,UNLD,3.099,MIDGRADE,3.509,DIESEL,3.359,,,,,,,,,,,,,,
250247,R AND S FOOD MART,565 EAST HOLMES ROAD,TN,35.0060514,-90.0448304,9013968888,https://www.google.com/maps/dir//565+EAST+HOLMES+ROAD+MEMPHIS+TN+38109,MARATHON,REG,2.559,MID,3.299,PREM,3.699,,,,,,,,,,,,,,
250248,HANDI MART 2,5256 HIGHWAY 231,FL,30.949829,-85.4020937,8502634942,https://www.google.com/maps/dir//5256+HIGHWAY+231+CAMPBELLTON+FL+32426,MARATHON,UNLD,2.999,MID,3.399,DIESL,3.599,,,,,,,,,,,,,,
250250,Bolotte's,2564 LA-1,LA,29.8327053,-90.9431473,9855268631,https://www.google.com/maps/dir//2564+LA-1+Labadieville+LA+70372,MARATHON,UNLD,2.799,DIESL,3.299,,,,,,,,,,,,,,,,
250251,FLORANADA II MARATHON,4400 N FEDERAL HIGHWAY,FL,26.1828607,-80.1187791,9544936700,https://www.google.com/maps/dir//4400+N+FEDERAL+HIGHWAY+FORT+LAUDERDALE+FL+33308,MARATHON,REG,3.099,MID,3.499,DIESL,3.699,,,,,,,,,,,,,,
250252,CLARKS PNS 54,532 BRIDGE ST,WV,38.4297184,-82.3831773,3045228500,https://www.google.com/maps/dir//532+BRIDGE+ST+HUNTINGTON+WV+25702,MARATHON,REGULAR,2.859,MID GRADE,3.359,DIESEL,3.799,,,,,,,,,,,,,,
250253,TAYLORSCREEK MARATHON,7077 Harrison Avenue,OH,39.211073,-84.6754409,5133530163,https://www.google.com/maps/dir//7077+Harrison+Avenue+Cincinnati+OH+45247,MARATHON,REGULAR,2.959,PLU,3.759,SUPER,3.959,DIESEL,3.699,,,,,,,,,,,,
250254,Harbor City Marathon,2903 S HARBOR CITY BLVD,FL,28.0653823,-80.5978871,3219560060,https://www.google.com/maps/dir//2903+S+HARBOR+CITY+BLVD+MELBOURNE+FL+32901,MARATHON,UNLD,2.879,MIDGRADE,3.279,DIESL,3.459,,,,,,,,,,,,,,
265741,Riverside Marathon,2817 Riverside Avenue,MN,44.9629817,-93.2309549,6123333441,https://www.google.com/maps/dir//2817+Riverside+Avenue+Minneapolis+MN+55406,MARATHON,REGULAR,2.899,SUPER,3.199,PREMIUM,3.499,NON OXY,3.699,,,,,,,,,,,,
354543,Corner Store,2302 Broadway St S,WI,44.8617944,-91.9295254,7152354856,https://www.google.com/maps/dir//2302+Broadway+St+S+Menomonie+WI+54751,MARATHON,REGULAR,2.779,PLUS,3.279,PREMIUM,3.779,,,,,,,,,,,,,,
250148,Sandy Hook Store,2883 Sandy Hook Road,VA,37.7520542,-77.9119248,8045564685,https://www.google.com/maps/dir//2883+Sandy+Hook+Road+Sandy+Hook+VA+23153,MARATHON,,,,,,,,,,,,,,,,,,,,
250149,Louisa Kash Stop Inc,RT 2565 AND US 32,KY,38.1053382,-82.612359,6066389611,https://www.google.com/maps/dir//RT+2565+AND+US+32+LOUISA+KY+41230,MARATHON,Regular,2.799,Plus,3.299,Premium,3.799,,,,,,,,,,,,,,
250151,LOWRY FOOD MART,1698 WELLS HWY,SC,34.686148,-82.9133958,8648827197,https://www.google.com/maps/dir//1698+WELLS+HWY+SENECA+SC+29678,MARATHON,UNLD,2.849,Mid,3.199,Prem,3.499,DIESL,3.399,,,,,,,,,,,,
250152,Cheltenham Marathon,1440 W Cheltenham Ave,PA,40.0638601,-75.1406296,2155481560,https://www.google.com/maps/dir//1440+W+Cheltenham+Ave+Philadelphia+PA+19126,MARATHON,UNLD,3.159,PLUS,3.459,DIESL,3.859,,,,,,,,,,,,,,
250153,BLUE RIDGE CENTER,3750 BLUE RIDGE BLVD,VA,37.3658504,-79.8171551,5409776323,https://www.google.com/maps/dir//3750+BLUE+RIDGE+BLVD+BLUE+RIDGE+VA+24064,MARATHON,Regular,2.899,Mid Grade,3.579,Premium,3.999,,,,,,,,,,,,,,
250154,CROOM MARATHON,7538 Crain Highway,MD,38.7851394,-76.792384,3016721811,https://www.google.com/maps/dir//7538+Crain+Highway+Upper+Marlboro+MD+20772,MARATHON,Regular,3.159,Plus,4.599,DIESL,4.099,,,,,,,,,,,,,,
250155,FAIRBORN MARATHON,3887 COLONEL GLENN HWY,OH,39.7749185,-84.0752428,9373201791,https://www.google.com/maps/dir//3887+COLONEL+GLENN+HWY+FAIRBORN+OH+45324,MARATHON,Unleaded,2.999,Midgrade,3.799,Diesel,3.299,,,,,,,,,,,,,,
250156,Hartsville Food Mart,20645 State Road 46,IN,39.2674437,-85.6993534,8125463354,https://www.google.com/maps/dir//20645+State+Road+46+Hartsville+IN+47244,MARATHON,UNLD,2.999,OFFRD,3.149,PLUS,3.499,DIESEL,3.649,,,,,,,,,,,,
250157,Riverstone Marathon,217 Riverstone Pkwy,GA,34.2438428,-84.4879764,7707201402,https://www.google.com/maps/dir//217+Riverstone+Pkwy+Canton+GA+30114,MARATHON,REGULAR,2.999,PLUS,3.299,PREMIUM,3.599,DIESL,3.599,,,,,,,,,,,,
250158,LAKESIDE PLAZA LLC,3180 OLD COLUMBUS ROAD,OH,39.9487314,-83.497898,7408521540,https://www.google.com/maps/dir//3180+OLD+COLUMBUS+ROAD+LONDON+OH+43140,MARATHON,UNLD,3.299,PLUS,3.799,PREMIUM,4.299,DIESEL,3.799,,,,,,,,,,,,
250159,Shortys,2133 Dixie Highway,KY,38.2196621,-85.7934836,5027756262,https://www.google.com/maps/dir//2133+Dixie+Highway+Louisville+KY+40210,MARATHON,REGULAR,2.899,PLUS,3.599,PREMIUM,4.099,,,,,,,,,,,,,,
250160,Mr. Jiffy # 4,450 Mississippi 6,MS,34.3103352,-89.9534535,6625632113,https://www.google.com/maps/dir//450+Mississippi+6+Batesville+MS+38606,MARATHON,Unld,2.599,Plus,2.999,Super,3.399,DSL,3.099,,,,,,,,,,,,
250161,Highfalls Marathon,4946 High Falls Rd,GA,33.1753975,-84.0254478,7063623483,https://www.google.com/maps/dir//4946+High+Falls+Rd+Jackson+GA+30233,MARATHON,UNLD,2.959,MID,3.599,PREM,4.099,,,,,,,,,,,,,,
250162,MARATHON 6430,6430 SPRINGFIELD XENIA RD,OH,39.8334362,-83.8673265,9373285102,https://www.google.com/maps/dir//6430+SPRINGFIELD+XENIA+RD+SPRINGFIELD+OH+45502,MARATHON,UNLD,3.299,PLUS,3.899,DIESL,3.999,,,,,,,,,,,,,,
250163,CONVENIENT PLUS,719 31ST STREET,WV,38.424661,-82.3931415,3045251754,https://www.google.com/maps/dir//719+31ST+STREET+HUNTINGTON+WV+25702,MARATHON,REGULAR,2.859,PLUS,3.359,DIESEL,3.799,,,,,,,,,,,,,,
